Date,Volume(),Change,Close
9/3/2019,18.9,0.21,2930
9/2/2019,20.28,1.31,2924
8/30/2019,19.4,-0.16,2886
8/29/2019,17.86,-0.1,2891
8/28/2019,18.31,-0.29,2894
8/27/2019,20.81,1.35,2902
8/26/2019,16.99,-1.17,2864
8/23/2019,15.92,0.49,2897
8/22/2019,14.92,0.11,2883
8/21/2019,15.9,0.01,2880
8/20/2019,18.97,-0.11,2880
8/19/2019,21.45,2.1,2883
8/16/2019,14.86,0.28,2824
8/15/2019,15.28,0.25,2816
8/14/2019,14.4,0.42,2809
8/13/2019,13.09,-0.63,2797
8/12/2019,13.16,1.45,2815
8/9/2019,14.82,-0.71,2775
8/8/2019,14.95,0.93,2795
8/7/2019,15.77,-0.32,2769
8/6/2019,23.11,-1.56,2778
8/5/2019,16.74,-1.62,2822
8/2/2019,18.49,-1.41,2868
8/1/2019,14.24,-0.81,2909
7/31/2019,14.11,-0.67,2933
7/30/2019,14.83,0.39,2952
7/29/2019,12.8,-0.12,2941
7/26/2019,13.93,0.24,2945
7/25/2019,14.57,0.48,2937
7/24/2019,15.52,0.8,2923
7/23/2019,12.93,0.45,2900
7/22/2019,18.07,-1.27,2887
7/19/2019,14.95,0.79,2924
7/18/2019,14.99,-1.04,2901
7/17/2019,14.96,-0.2,2932
7/16/2019,13.18,-0.16,2938
7/15/2019,16.76,0.4,2942
7/12/2019,13.78,0.44,2931
7/11/2019,14.37,0.08,2918
7/10/2019,13.55,-0.44,2915
7/9/2019,14.51,-0.17,2928
7/8/2019,21.15,-2.58,2933
7/5/2019,15.68,0.19,3011
7/4/2019,19.44,-0.33,3005
7/3/2019,21.23,-0.94,3015
7/2/2019,21.45,-0.03,3044
7/1/2019,25.08,2.22,3045
6/28/2019,18.14,-0.6,2979
6/27/2019,19.54,0.69,2997
6/26/2019,17.44,-0.19,2976
6/25/2019,24.37,-0.87,2982
6/24/2019,21.05,0.21,3008
6/21/2019,28.7,0.5,3002
6/20/2019,29.1,2.38,2987
6/19/2019,23.08,0.96,2918
6/18/2019,14.77,0.09,2890
6/17/2019,15.4,0.2,2888
6/14/2019,21.54,-0.99,2882
6/13/2019,21.3,0.05,2911
6/12/2019,24.03,-0.56,2909
6/11/2019,26.05,2.58,2926
6/10/2019,16.66,0.86,2852
6/6/2019,17.71,-1.17,2828
6/5/2019,18.16,-0.03,2861
6/4/2019,18.85,-0.96,2862
6/3/2019,21.59,-0.3,2890
5/31/2019,19.52,-0.24,2899
5/30/2019,20.58,-0.31,2906
5/29/2019,19.9,0.16,2915
5/28/2019,22.33,0.61,2910
5/27/2019,19.67,1.38,2892
5/24/2019,16.72,0.02,2853
5/23/2019,19.73,-1.35,2853
5/22/2019,20,-0.49,2892
5/21/2019,21.14,1.23,2906
5/20/2019,20.95,-0.41,2871
5/17/2019,26.63,-2.48,2882
5/16/2019,24.84,0.58,2956
5/15/2019,23.05,1.91,2939
5/14/2019,20.83,-0.69,2884
5/13/2019,21.2,-1.21,2904
5/10/2019,28.23,3.1,2939
5/9/2019,20,-1.48,2851
5/8/2019,23.15,-1.12,2894
5/7/2019,25.33,0.69,2926
5/6/2019,32.7,-5.58,2906
4/30/2019,22.23,0.52,3078
4/29/2019,29.21,-0.77,3063
4/26/2019,28.09,-1.2,3086
4/25/2019,32.59,-2.43,3124
4/24/2019,27.49,0.09,3202
4/23/2019,32.84,-0.51,3199
4/22/2019,35.32,-1.7,3215
4/19/2019,31.52,0.63,3271
4/18/2019,32.55,-0.4,3250
4/17/2019,35.75,0.29,3263
4/16/2019,35.79,2.39,3254
4/15/2019,34.88,-0.34,3178
4/12/2019,28.98,-0.04,3189
4/11/2019,35.3,-1.6,3190
4/10/2019,38.01,0.07,3242
4/9/2019,36.42,-0.16,3240
4/8/2019,50.45,-0.05,3245
4/4/2019,46.91,0.94,3247
4/3/2019,43.05,1.24,3216
4/2/2019,44.71,0.2,3177
4/1/2019,46.61,2.58,3170
3/29/2019,37.51,3.2,3091
3/28/2019,28.81,-0.92,2995
3/27/2019,29.14,0.85,3023
3/26/2019,35.35,-1.51,2997
3/25/2019,38.03,-1.97,3043
3/22/2019,36.48,0.09,3104
3/21/2019,41.43,0.35,3101
3/20/2019,35.86,-0.01,3091
3/19/2019,35.09,-0.18,3091
3/18/2019,39.78,2.47,3096
3/15/2019,34.12,1.04,3022
3/14/2019,37.31,-1.2,2991
3/13/2019,45.32,-1.09,3027
3/12/2019,51.12,1.1,3060
3/11/2019,42.62,1.92,3027
3/8/2019,57.79,-4.4,2970
3/7/2019,58.38,0.14,3106
3/6/2019,55.5,1.57,3102
3/5/2019,42.41,0.88,3054
3/4/2019,52.56,1.12,3028
3/1/2019,34.58,1.8,2994
2/28/2019,35.02,-0.44,2941
